;Fecha;Ubicacion;Temperatura;Humedad;Presion;VelocidadViento;DireccionViento;Precipitacion;PuntoRocio;VelocidadVehiculo;LongitudVehiculo;Humo;
0;03/04/2021 14:00;Rumi Punco - Pueblo Viejo;24.5;73.5;1011.3;1.1;244;0;19.4;40;13;1;
1;03/04/2021 15:00;Rumi Punco - Pueblo Viejo;23;77.9;1010.8;0.6;305;0.3;18.9;35;18;0;
2;07/11/2020 16:00;Rumi Punco - Pueblo Viejo;21.8;78.7;1011.1;0.6;179.9;0.3;17.9;30;20;0;
3;07/11/2020 17:00;Rumi Punco - Pueblo Viejo;19.1;85.9;1011.9;0.7;224;0.4;16.7;;;0;
4;07/11/2020 18:00;Rumi Punco - Pueblo Viejo;17.1;93.1;1012.9;0.4;22.6;0.4;15.9;;;0;
5;07/11/2020 19:00;Rumi Punco - Pueblo Viejo;16.5;92.5;1014;0.8;85.8;0.6;15.3;;;0;
6;07/11/2020 20:00;Rumi Punco - Pueblo Viejo;16.3;92;1014.5;1.1;89.3;0.8;15;;;0;
7;07/11/2020 21:00;Rumi Punco - Pueblo Viejo;16.1;91.5;1014.9;1;97.5;0.7;14.7;;;0;
8;07/11/2020 22:00;Rumi Punco - Pueblo Viejo;15.8;90.8;1015.1;0.7;81.6;0.7;14.3;;;0;
9;07/11/2020 23:00;Rumi Punco - Pueblo Viejo;15.7;90.7;1015.2;0.5;76.7;0.6;14.2;;;0;
10;08/11/2020 0:00;Rumi Punco - Pueblo Viejo;15.5;90.7;1014.9;0.5;69.9;0.6;14;;;0;
11;08/11/2020 1:00;Rumi Punco - Pueblo Viejo;15.2;92.2;1014.3;0.5;83.3;0.5;14;;;0;
12;08/11/2020 2:00;Rumi Punco - Pueblo Viejo;15.2;93.1;1013.7;0.6;99.1;0.4;14.1;;;1;
13;08/11/2020 3:00;Rumi Punco - Pueblo Viejo;15;98.6;1013.5;0.4;32.5;0.1;14.8;;;1;
14;08/11/2020 4:00;Rumi Punco - Pueblo Viejo;15;98.6;1013.7;0.3;103.3;0;14.8;;;1;
15;08/11/2020 5:00;Rumi Punco - Pueblo Viejo;14.8;98.6;1014.3;0.4;76.5;0;14.6;;;1;
16;08/11/2020 6:00;Rumi Punco - Pueblo Viejo;14.6;98.6;1015.2;0.5;105.9;0;14.4;;;0;
17;08/11/2020 7:00;Rumi Punco - Pueblo Viejo;15.6;96.8;1015.9;0.5;83.4;0;15.1;;;0;
18;08/11/2020 8:00;Rumi Punco - Pueblo Viejo;17.1;;1017.7;0.8;45.6;0;14.9;;;0;
19;08/11/2020 9:00;Rumi Punco - Pueblo Viejo;18.6;;1018.1;0.7;166.1;0;15.2;;;0;
20;08/11/2020 10:00;Rumi Punco - Pueblo Viejo;21;;1017.4;1;188.2;0;15.1;;;0;
21;08/11/2020 11:00;Rumi Punco - Pueblo Viejo;21.3;;1015.9;1;196.1;0;14.9;;;0;
22;08/11/2020 12:00;Rumi Punco - Pueblo Viejo;22;;1014.3;1.2;214;0;15.2;;;0;
23;08/11/2020 13:00;Rumi Punco - Pueblo Viejo;22.5;;1013.1;0.3;280.6;0;15.6;;;0;
24;08/11/2020 14:00;Rumi Punco - Pueblo Viejo;23;82.9;1011.8;0.7;62.6;0.2;20;;;0;
25;08/11/2020 15:00;Rumi Punco - Pueblo Viejo;21.5;79.9;1011.5;1.1;94.2;0.3;17.9;;;0;
26;08/11/2020 16:00;Rumi Punco - Pueblo Viejo;20;86.5;1011.8;1;94.2;0.4;17.7;;;0;
27;08/11/2020 17:00;Rumi Punco - Pueblo Viejo;18.5;87.9;1012.5;0.9;129.5;0.5;16.4;;;0;
