,fechas,lluvia
0,2020-11-07 16:42:56.786451,
1,2020-11-07 16:43:06.786451,1
2,2020-11-07 16:43:16.786451,0
3,2020-11-07 16:43:26.786451,1
4,2020-11-07 16:43:36.786451,1
5,2020-11-07 16:43:46.786451,0
6,2020-11-07 16:43:56.786451,2
7,2020-11-07 16:44:06.786451,0
8,2020-11-07 16:44:16.786451,1
9,2020-11-07 16:44:26.786451,2
10,2020-11-07 16:44:36.786451,3
11,2020-11-07 16:44:46.786451,10
12,2020-11-07 16:44:56.786451,
13,2020-11-07 16:45:06.786451,15
14,2020-11-07 16:45:16.786451,4
15,2020-11-07 16:45:26.786451,10
16,2020-11-07 16:45:36.786451,3
17,2020-11-07 16:45:46.786451,13
18,2020-11-07 16:45:56.786451,4
19,2020-11-07 16:46:06.786451,8
20,2020-11-07 16:46:16.786451,6
21,2020-11-07 16:46:26.786451,15
22,2020-11-07 16:46:36.786451,12
23,2020-11-07 16:46:46.786451,7
24,2020-11-07 16:46:56.786451,9
25,2020-11-07 16:47:06.786451,14
26,2020-11-07 16:47:16.786451,5
27,2020-11-07 16:47:26.786451,9
28,2020-11-07 16:47:36.786451,6
29,2020-11-07 16:47:46.786451,15
30,2020-11-07 16:47:56.786451,24
31,2020-11-07 16:48:06.786451,28
32,2020-11-07 16:48:16.786451,16
33,2020-11-07 16:48:26.786451,26
34,2020-11-07 16:48:36.786451,17
35,2020-11-07 16:48:46.786451,30
36,2020-11-07 16:48:56.786451,25
37,2020-11-07 16:49:06.786451,27
38,2020-11-07 16:49:16.786451,24
39,2020-11-07 16:49:26.786451,29
40,2020-11-07 16:49:36.786451,20
41,2020-11-07 16:49:46.786451,21
42,2020-11-07 16:49:56.786451,30
43,2020-11-07 16:50:06.786451,17
44,2020-11-07 16:50:16.786451,30
45,2020-11-07 16:50:26.786451,22
46,2020-11-07 16:50:36.786451,24
47,2020-11-07 16:50:46.786451,16
48,2020-11-07 16:50:56.786451,19
49,2020-11-07 16:51:06.786451,19
50,2020-11-07 16:51:16.786451,25
51,2020-11-07 16:51:26.786451,23
52,2020-11-07 16:51:36.786451,30
53,2020-11-07 16:51:46.786451,30
54,2020-11-07 16:51:56.786451,19
55,2020-11-07 16:52:06.786451,18
56,2020-11-07 16:52:16.786451,28
57,2020-11-07 16:52:26.786451,16
58,2020-11-07 16:52:36.786451,23
59,2020-11-07 16:52:46.786451,18
60,2020-11-07 16:52:56.786451,21
61,2020-11-07 16:53:06.786451,21
62,2020-11-07 16:53:16.786451,28
63,2020-11-07 16:53:26.786451,26
64,2020-11-07 16:53:36.786451,18
65,2020-11-07 16:53:46.786451,25
66,2020-11-07 16:53:56.786451,18
67,2020-11-07 16:54:06.786451,30
68,2020-11-07 16:54:16.786451,30
69,2020-11-07 16:54:26.786451,25
70,2020-11-07 16:54:36.786451,43
71,2020-11-07 16:54:46.786451,52
72,2020-11-07 16:54:56.786451,58
73,2020-11-07 16:55:06.786451,50
74,2020-11-07 16:55:16.786451,47
75,2020-11-07 16:55:26.786451,45
76,2020-11-07 16:55:36.786451,32
77,2020-11-07 16:55:46.786451,33
78,2020-11-07 16:55:56.786451,38
79,2020-11-07 16:56:06.786451,46
80,2020-11-07 16:56:16.786451,48
81,2020-11-07 16:56:26.786451,57
82,2020-11-07 16:56:36.786451,35
83,2020-11-07 16:56:46.786451,47
84,2020-11-07 16:56:56.786451,31
85,2020-11-07 16:57:06.786451,42
86,2020-11-07 16:57:16.786451,46
87,2020-11-07 16:57:26.786451,36
88,2020-11-07 16:57:36.786451,38
89,2020-11-07 16:57:46.786451,59
90,2020-11-07 16:57:56.786451,17
91,2020-11-07 16:58:06.786451,24
92,2020-11-07 16:58:16.786451,23
93,2020-11-07 16:58:26.786451,16
94,2020-11-07 16:58:36.786451,20
95,2020-11-07 16:58:46.786451,25
96,2020-11-07 16:58:56.786451,28
97,2020-11-07 16:59:06.786451,26
98,2020-11-07 16:59:16.786451,19
99,2020-11-07 16:59:26.786451,30
100,2020-11-07 16:59:36.786451,16
101,2020-11-07 16:59:46.786451,27
102,2020-11-07 16:59:56.786451,25
103,2020-11-07 17:00:06.786451,29
104,2020-11-07 17:00:16.786451,17
105,2020-11-07 17:00:26.786451,19
106,2020-11-07 17:00:36.786451,28
107,2020-11-07 17:00:46.786451,28
108,2020-11-07 17:00:56.786451,19
109,2020-11-07 17:01:06.786451,26
110,2020-11-07 17:01:16.786451,22
111,2020-11-07 17:01:26.786451,20
112,2020-11-07 17:01:36.786451,26
113,2020-11-07 17:01:46.786451,23
114,2020-11-07 17:01:56.786451,23
115,2020-11-07 17:02:06.786451,28
116,2020-11-07 17:02:16.786451,16
117,2020-11-07 17:02:26.786451,21
118,2020-11-07 17:02:36.786451,21
119,2020-11-07 17:02:46.786451,16
120,2020-11-07 17:02:56.786451,35
121,2020-11-07 17:03:06.786451,55
122,2020-11-07 17:03:16.786451,34
123,2020-11-07 17:03:26.786451,47
124,2020-11-07 17:03:36.786451,54
125,2020-11-07 17:03:46.786451,54
126,2020-11-07 17:03:56.786451,49
127,2020-11-07 17:04:06.786451,36
128,2020-11-07 17:04:16.786451,48
129,2020-11-07 17:04:26.786451,59
130,2020-11-07 17:04:36.786451,34
131,2020-11-07 17:04:46.786451,48
132,2020-11-07 17:04:56.786451,37
133,2020-11-07 17:05:06.786451,43
134,2020-11-07 17:05:16.786451,37
135,2020-11-07 17:05:26.786451,32
136,2020-11-07 17:05:36.786451,38
137,2020-11-07 17:05:46.786451,31
138,2020-11-07 17:05:56.786451,51
139,2020-11-07 17:06:06.786451,57
140,2020-11-07 17:06:16.786451,50
141,2020-11-07 17:06:26.786451,46
142,2020-11-07 17:06:36.786451,31
143,2020-11-07 17:06:46.786451,39
144,2020-11-07 17:06:56.786451,51
145,2020-11-07 17:07:06.786451,36
146,2020-11-07 17:07:16.786451,37
147,2020-11-07 17:07:26.786451,33
148,2020-11-07 17:07:36.786451,37
149,2020-11-07 17:07:46.786451,45
150,2020-11-07 17:07:56.786451,45
151,2020-11-07 17:08:06.786451,55
152,2020-11-07 17:08:16.786451,57
153,2020-11-07 17:08:26.786451,32
154,2020-11-07 17:08:36.786451,52
155,2020-11-07 17:08:46.786451,53
156,2020-11-07 17:08:56.786451,56
157,2020-11-07 17:09:06.786451,57
158,2020-11-07 17:09:16.786451,31
159,2020-11-07 17:09:26.786451,32
160,2020-11-07 17:09:36.786451,50
161,2020-11-07 17:09:46.786451,42
162,2020-11-07 17:09:56.786451,52
163,2020-11-07 17:10:06.786451,44
164,2020-11-07 17:10:16.786451,51
165,2020-11-07 17:10:26.786451,33
166,2020-11-07 17:10:36.786451,56
167,2020-11-07 17:10:46.786451,51
168,2020-11-07 17:10:56.786451,39
169,2020-11-07 17:11:06.786451,59
170,2020-11-07 17:11:16.786451,68
171,2020-11-07 17:11:26.786451,84
172,2020-11-07 17:11:36.786451,87
173,2020-11-07 17:11:46.786451,84
174,2020-11-07 17:11:56.786451,68
175,2020-11-07 17:12:06.786451,64
176,2020-11-07 17:12:16.786451,76
177,2020-11-07 17:12:26.786451,80
178,2020-11-07 17:12:36.786451,65
179,2020-11-07 17:12:46.786451,89
180,2020-11-07 17:12:56.786451,78
181,2020-11-07 17:13:06.786451,70
182,2020-11-07 17:13:16.786451,88
183,2020-11-07 17:13:26.786451,88
184,2020-11-07 17:13:36.786451,88
185,2020-11-07 17:13:46.786451,72
186,2020-11-07 17:13:56.786451,61
187,2020-11-07 17:14:06.786451,73
188,2020-11-07 17:14:16.786451,63
189,2020-11-07 17:14:26.786451,84
190,2020-11-07 17:14:36.786451,84
191,2020-11-07 17:14:46.786451,60
192,2020-11-07 17:14:56.786451,71
193,2020-11-07 17:15:06.786451,87
194,2020-11-07 17:15:16.786451,68
195,2020-11-07 17:15:26.786451,64
196,2020-11-07 17:15:36.786451,79
197,2020-11-07 17:15:46.786451,75
198,2020-11-07 17:15:56.786451,64
199,2020-11-07 17:16:06.786451,89
200,2020-11-07 17:16:16.786451,82
201,2020-11-07 17:16:26.786451,74
202,2020-11-07 17:16:36.786451,90
203,2020-11-07 17:16:46.786451,72
204,2020-11-07 17:16:56.786451,88
205,2020-11-07 17:17:06.786451,66
206,2020-11-07 17:17:16.786451,65
207,2020-11-07 17:17:26.786451,73
208,2020-11-07 17:17:36.786451,66
209,2020-11-07 17:17:46.786451,90
210,2020-11-07 17:17:56.786451,74
211,2020-11-07 17:18:06.786451,68
212,2020-11-07 17:18:16.786451,65
213,2020-11-07 17:18:26.786451,62
214,2020-11-07 17:18:36.786451,69
215,2020-11-07 17:18:46.786451,90
216,2020-11-07 17:18:56.786451,80
217,2020-11-07 17:19:06.786451,74
218,2020-11-07 17:19:16.786451,74
219,2020-11-07 17:19:26.786451,74
220,2020-11-07 17:19:36.786451,65
221,2020-11-07 17:19:46.786451,71
222,2020-11-07 17:19:56.786451,83
223,2020-11-07 17:20:06.786451,68
224,2020-11-07 17:20:16.786451,70
225,2020-11-07 17:20:26.786451,61
226,2020-11-07 17:20:36.786451,74
227,2020-11-07 17:20:46.786451,85
228,2020-11-07 17:20:56.786451,81
229,2020-11-07 17:21:06.786451,78
230,2020-11-07 17:21:16.786451,34
231,2020-11-07 17:21:26.786451,55
232,2020-11-07 17:21:36.786451,46
233,2020-11-07 17:21:46.786451,48
234,2020-11-07 17:21:56.786451,51
235,2020-11-07 17:22:06.786451,40
236,2020-11-07 17:22:16.786451,37
237,2020-11-07 17:22:26.786451,34
238,2020-11-07 17:22:36.786451,55
239,2020-11-07 17:22:46.786451,55
240,2020-11-07 17:22:56.786451,37
241,2020-11-07 17:23:06.786451,43
242,2020-11-07 17:23:16.786451,46
243,2020-11-07 17:23:26.786451,46
244,2020-11-07 17:23:36.786451,36
245,2020-11-07 17:23:46.786451,41
246,2020-11-07 17:23:56.786451,40
247,2020-11-07 17:24:06.786451,40
248,2020-11-07 17:24:16.786451,41
249,2020-11-07 17:24:26.786451,41
250,2020-11-07 17:24:36.786451,49
251,2020-11-07 17:24:46.786451,51
252,2020-11-07 17:24:56.786451,57
253,2020-11-07 17:25:06.786451,55
254,2020-11-07 17:25:16.786451,43
255,2020-11-07 17:25:26.786451,50
256,2020-11-07 17:25:36.786451,38
257,2020-11-07 17:25:46.786451,49
258,2020-11-07 17:25:56.786451,40
259,2020-11-07 17:26:06.786451,58
260,2020-11-07 17:26:16.786451,31
261,2020-11-07 17:26:26.786451,38
262,2020-11-07 17:26:36.786451,41
263,2020-11-07 17:26:46.786451,34
264,2020-11-07 17:26:56.786451,51
265,2020-11-07 17:27:06.786451,31
266,2020-11-07 17:27:16.786451,31
267,2020-11-07 17:27:26.786451,49
268,2020-11-07 17:27:36.786451,34
269,2020-11-07 17:27:46.786451,51
270,2020-11-07 17:27:56.786451,75
271,2020-11-07 17:28:06.786451,65
272,2020-11-07 17:28:16.786451,88
273,2020-11-07 17:28:26.786451,80
274,2020-11-07 17:28:36.786451,63
275,2020-11-07 17:28:46.786451,72
276,2020-11-07 17:28:56.786451,81
277,2020-11-07 17:29:06.786451,80
278,2020-11-07 17:29:16.786451,67
279,2020-11-07 17:29:26.786451,86
280,2020-11-07 17:29:36.786451,70
281,2020-11-07 17:29:46.786451,71
282,2020-11-07 17:29:56.786451,85
283,2020-11-07 17:30:06.786451,78
284,2020-11-07 17:30:16.786451,61
285,2020-11-07 17:30:26.786451,90
286,2020-11-07 17:30:36.786451,86
287,2020-11-07 17:30:46.786451,66
288,2020-11-07 17:30:56.786451,86
289,2020-11-07 17:31:06.786451,90
290,2020-11-07 17:31:16.786451,67
291,2020-11-07 17:31:26.786451,87
292,2020-11-07 17:31:36.786451,75
293,2020-11-07 17:31:46.786451,83
294,2020-11-07 17:31:56.786451,65
295,2020-11-07 17:32:06.786451,83
296,2020-11-07 17:32:16.786451,88
