;Fecha;Ubicacion;Temperatura;Humedad;Presion;VelocidadViento;DireccionViento;Precipitacion;PuntoRocio;VelocidadVehiculo;LongitudVehiculo;Humo
0;30/03/2021 21:40;Aguilares - Concepcion;;;;;;13;;;;
1;30/03/2021 21:41;Aguilares - Concepcion;;;;;;14;;;;
2;30/03/2021 21:42;Aguilares - Concepcion;;;;;;22;;;;
3;30/03/2021 21:43;Aguilares - Concepcion;;;;;;24;;;;
4;30/03/2021 21:44;Aguilares - Concepcion;;;;;;27;;;;
5;30/03/2021 21:45;Aguilares - Concepcion;;;;;;29;;;;
6;30/03/2021 21:46;Aguilares - Concepcion;;;;;;43;;;;
7;30/03/2021 21:47;Aguilares - Concepcion;;;;;;48;;;;
8;30/03/2021 21:48;Aguilares - Concepcion;;;;;;65;;;;
9;30/03/2021 21:49;Aguilares - Concepcion;;;;;;68;;;;
10;30/03/2021 21:50;Aguilares - Concepcion;;;;;;70;;;;
11;30/03/2021 21:51;Aguilares - Concepcion;;;;;;49;;;;
12;30/03/2021 21:52;Aguilares - Concepcion;;;;;;43;;;;
13;30/03/2021 21:53;Aguilares - Concepcion;;;;;;28;;;;
14;30/03/2021 21:54;Aguilares - Concepcion;;;;;;22;;;;
15;30/03/2021 21:55;Aguilares - Concepcion;;;;;;12;;;;
16;30/03/2021 21:56;Aguilares - Concepcion;;;;;;11;;;;
17;30/03/2021 21:57;Aguilares - Concepcion;;;;;;5;;;;
18;30/03/2021 21:58;Aguilares - Concepcion;;;;;;0;;;;
