,fechas,lluvia
0,2020-11-05 21:25:46.434254,2
1,2020-11-05 21:25:46.434254,0
2,2020-11-05 21:25:46.434254,1
3,2020-11-05 21:25:46.434254,2
4,2020-11-05 21:25:46.434254,1
5,2020-11-05 21:25:46.434254,2
6,2020-11-05 21:25:46.434254,1
7,2020-11-05 21:25:46.434254,2
8,2020-11-05 21:25:46.434254,1
9,2020-11-05 21:25:46.434254,2
10,2020-11-05 21:25:46.434254,15
11,2020-11-05 21:25:46.434254,13
12,2020-11-05 21:25:46.434254,9
13,2020-11-05 21:25:46.434254,3
14,2020-11-05 21:25:46.434254,15
15,2020-11-05 21:25:46.434254,3
16,2020-11-05 21:25:46.434254,15
17,2020-11-05 21:25:46.434254,12
18,2020-11-05 21:25:46.434254,6
19,2020-11-05 21:25:46.434254,7
20,2020-11-05 21:25:46.434254,7
21,2020-11-05 21:25:46.434254,4
22,2020-11-05 21:25:46.434254,10
23,2020-11-05 21:25:46.434254,4
24,2020-11-05 21:25:46.434254,4
25,2020-11-05 21:25:46.434254,6
26,2020-11-05 21:25:46.434254,10
27,2020-11-05 21:25:46.434254,6
28,2020-11-05 21:25:46.434254,13
29,2020-11-05 21:25:46.434254,12
30,2020-11-05 21:25:46.434254,25
31,2020-11-05 21:25:46.434254,22
32,2020-11-05 21:25:46.434254,18
33,2020-11-05 21:25:46.434254,17
34,2020-11-05 21:25:46.434254,27
35,2020-11-05 21:25:46.434254,24
36,2020-11-05 21:25:46.434254,24
37,2020-11-05 21:25:46.434254,27
38,2020-11-05 21:25:46.434254,16
39,2020-11-05 21:25:46.434254,28
40,2020-11-05 21:25:46.434254,25
41,2020-11-05 21:25:46.434254,27
42,2020-11-05 21:25:46.434254,30
43,2020-11-05 21:25:46.434254,17
44,2020-11-05 21:25:46.434254,20
45,2020-11-05 21:25:46.434254,17
46,2020-11-05 21:25:46.434254,30
47,2020-11-05 21:25:46.434254,28
48,2020-11-05 21:25:46.434254,20
49,2020-11-05 21:25:46.434254,21
50,2020-11-05 21:25:46.434254,17
51,2020-11-05 21:25:46.434254,28
52,2020-11-05 21:25:46.434254,26
53,2020-11-05 21:25:46.434254,27
54,2020-11-05 21:25:46.434254,19
55,2020-11-05 21:25:46.434254,27
56,2020-11-05 21:25:46.434254,29
57,2020-11-05 21:25:46.434254,18
58,2020-11-05 21:25:46.434254,27
59,2020-11-05 21:25:46.434254,29
60,2020-11-05 21:25:46.434254,26
61,2020-11-05 21:25:46.434254,17
62,2020-11-05 21:25:46.434254,30
63,2020-11-05 21:25:46.434254,17
64,2020-11-05 21:25:46.434254,18
65,2020-11-05 21:25:46.434254,16
66,2020-11-05 21:25:46.434254,23
67,2020-11-05 21:25:46.434254,30
68,2020-11-05 21:25:46.434254,22
69,2020-11-05 21:25:46.434254,21
